
Computing for N = 21:
24: 440% done, found 0 solutions
24: 450% done, found 0 solutions
24: 460% done, found 0 solutions
24: 470% done, found 0 solutions
24: 480% done, found 0 solutions
24: 490% done, found 0 solutions
24: 500% done, found 0 solutions
24: 510% done, found 0 solutions
24: 520% done, found 0 solutions
24: 530% done, found 0 solutions
24: 540% done, found 0 solutions
24: 550% done, found 0 solutions
24: 560% done, found 0 solutions
24: 570% done, found 0 solutions
24: 580% done, found 0 solutions
24: 590% done, found 1 solutions
24: 600% done, found 1 solutions
24: 610% done, found 1 solutions
24: 620% done, found 2 solutions
24: 630% done, found 2 solutions
24: 640% done, found 3 solutions
24: 650% done, found 3 solutions
24: 660% done, found 3 solutions
24: 670% done, found 3 solutions
24: 680% done, found 3 solutions
24: 690% done, found 3 solutions
24: 700% done, found 3 solutions
24: 710% done, found 3 solutions
24: 720% done, found 3 solutions
24: 730% done, found 3 solutions
24: 740% done, found 3 solutions
24: 750% done, found 3 solutions
24: 760% done, found 3 solutions
24: 770% done, found 3 solutions
24: 780% done, found 3 solutions
24: 790% done, found 3 solutions
24: 800% done, found 3 solutions
24: 810% done, found 3 solutions
24: 820% done, found 3 solutions
24: 830% done, found 3 solutions
24: 840% done, found 3 solutions
24: 850% done, found 3 solutions
24: 860% done, found 3 solutions
24: 870% done, found 3 solutions
24: 880% done, found 3 solutions
24: 890% done, found 3 solutions
24: 900% done, found 3 solutions
24: 910% done, found 3 solutions
24: 920% done, found 3 solutions
24: 930% done, found 3 solutions
24: 940% done, found 3 solutions
24: 950% done, found 3 solutions
24: 960% done, found 3 solutions
24: 970% done, found 3 solutions
24: 980% done, found 3 solutions
24: 990% done, found 3 solutions
24: 1000% done, found 3 solutions
n = 24,	0:09:09 ---> 174088005938065293023722, 188451485447897896036875, 239313664430041569350093

Computing for N = 25:
25: 10% done, found 0 solutions
25: 20% done, found 0 solutions
25: 30% done, found 0 solutions
25: 40% done, found 0 solutions
25: 50% done, found 0 solutions
25: 60% done, found 0 solutions
25: 70% done, found 0 solutions
25: 80% done, found 0 solutions
25: 90% done, found 0 solutions
25: 100% done, found 0 solutions
25: 110% done, found 0 solutions
25: 120% done, found 0 solutions
25: 130% done, found 0 solutions
25: 140% done, found 0 solutions
25: 150% done, found 0 solutions
25: 160% done, found 0 solutions
25: 170% done, found 0 solutions
25: 180% done, found 0 solutions
25: 190% done, found 0 solutions
25: 200% done, found 0 solutions
25: 210% done, found 0 solutions
25: 220% done, found 0 solutions
25: 230% done, found 0 solutions
25: 240% done, found 0 solutions
25: 250% done, found 0 solutions
25: 260% done, found 0 solutions
25: 270% done, found 0 solutions
25: 280% done, found 0 solutions
25: 290% done, found 0 solutions
25: 300% done, found 0 solutions
25: 310% done, found 0 solutions
25: 320% done, found 0 solutions
25: 330% done, found 0 solutions
25: 340% done, found 0 solutions
25: 350% done, found 0 solutions
25: 360% done, found 0 solutions
25: 370% done, found 0 solutions
25: 380% done, found 0 solutions
25: 390% done, found 0 solutions
